Wall time,Step,Value
1749421325.5039806,0,43.349754333496094
1749421354.8260572,1,51.72413635253906
1749421696.3796139,6,72.4137954711914
1749421745.657514,7,72.90640258789062
1749421869.1026971,9,16.25615692138672
1749421901.4854388,10,50.738914489746094
1749421933.9154367,11,73.8916244506836
1749422121.8492796,14,77.33990478515625
1749422419.449583,20,46.798030853271484
1749422842.301206,28,52.21674728393555
1749422874.903963,29,72.4137954711914
1749422941.77535,31,81.77339935302734
1749423099.2895563,35,85.22167205810547
1749423166.7917266,37,60.59113311767578
1749423234.295161,39,83.74384307861328
1749423427.7962723,43,85.71428680419922
1749423461.2191756,44,27.586206436157227
1749423613.700461,47,83.25122833251953
1749423724.7358823,49,83.74384307861328
1749424193.434912,59,71.92118072509766
1749424890.7162247,68,82.75862121582031
1749424997.7850776,70,86.20689392089844
1749425141.41905,74,85.71428680419922
1749426205.8471885,92,59.60591125488281
1749426237.753938,93,67.48768615722656
1749426270.0646331,94,50.738914489746094
1749426489.7313316,98,86.20689392089844
