Wall time,Step,Value
1749079694.9610593,1,49.82817840576172
1749079724.7895362,2,38.54524612426758
1749079751.1392283,3,57.3310432434082
1749079777.2973096,4,59.96563720703125
1749079803.64678,5,62.943870544433594
1749079830.2578952,6,53.15005874633789
1749079856.5820742,7,60.022911071777344
1749079882.9070187,8,63.802978515625
1749079917.8186834,9,63.00114440917969
1749079945.6564665,10,63.287513732910156
1749079986.5413566,11,57.502864837646484
1749080011.2035208,12,62.02749252319336
1749080034.2440326,13,57.502864837646484
1749080058.383497,14,62.60022735595703
1749080082.032094,15,54.696449279785156
1749080105.6937747,16,58.13287353515625
1749080129.242502,17,66.66666412353516
1749080153.0913994,18,60.882015228271484
1749080177.5988634,19,64.03207397460938
1749080201.8074596,20,61.22565841674805
1749080226.4483685,21,69.9885482788086
1749080252.3205895,22,63.91752624511719
1749080278.8965309,23,65.12027740478516
1749080305.2733352,24,67.92668914794922
1749080332.4121878,25,72.05039978027344
1749080358.5054848,26,71.4776611328125
1749080384.7759697,27,73.65406799316406
1749080410.5692194,28,71.13401794433594
1749080436.3260493,29,59.5074462890625
1749080462.480462,30,69.64490509033203
1749080488.8320882,31,74.11225891113281
1749080516.5728717,32,65.6930160522461
1749080543.3636649,33,73.65406799316406
1749080567.9120457,34,76.05956268310547
1749080593.8180118,35,77.26231384277344
1749080619.818571,36,67.18212890625
1749080645.5994878,37,77.31958770751953
1749080671.5463338,38,75.42955017089844
1749080697.9828842,39,75.773193359375
1749080725.6792278,40,69.41580963134766
1749080754.593965,41,77.37686157226562
1749080781.1563277,42,72.79496002197266
1749080807.0868301,43,76.80412292480469
1749080832.978318,44,77.89232635498047
1749080859.0069308,45,55.154640197753906
1749080885.0020387,46,81.0423812866211
1749080912.3622627,47,77.89232635498047
1749080938.4940841,48,79.26689910888672
1749080965.8063946,49,80.81328582763672
1749080993.8309262,50,78.98052978515625
1749081021.5197427,51,77.5486831665039
1749081049.1675434,52,81.21420288085938
1749081077.4360783,53,82.24513244628906
1749081104.841806,54,77.09049224853516
1749081132.6240003,55,81.50057220458984
1749081159.955337,56,83.39060974121094
1749081187.322059,57,75.88774108886719
1749081215.4234672,58,81.8442153930664
1749081243.0499501,59,83.33333587646484
1749081269.680974,60,74.68499755859375
1749081296.5668585,61,83.90607452392578
1749081324.3181531,62,75.54409790039062
1749081351.9638565,63,80.985107421875
1749081378.8839848,64,83.33333587646484
1749081413.9116704,65,64.7193603515625
1749081440.9414477,66,84.99427032470703
1749081471.9236276,67,81.9014892578125
1749081498.1648412,68,79.83963012695312
1749081526.0296874,69,82.41695404052734
1749081552.9800417,70,82.30240631103516
1749081580.2023983,71,82.18785858154297
1749081607.4043329,72,82.81787109375
1749081634.487978,73,84.3069839477539
1749081661.1398382,74,63.115692138671875
1749081689.3042233,75,85.50973510742188
1749081714.9983547,76,81.55784606933594
1749081742.492037,77,81.61511993408203
1749081769.7866275,78,84.65062713623047
1749081797.506638,79,82.30240631103516
1749081825.5789547,80,84.59335327148438
1749081853.503821,81,83.61970520019531
1749081880.6998596,82,80.985107421875
1749081907.6939259,83,83.39060974121094
1749081934.3749707,84,85.85337829589844
1749081961.862601,85,84.82244873046875
1749081989.3834531,86,82.07331085205078
1749082016.9317858,87,84.07789611816406
1749082044.328803,88,79.66780853271484
1749082071.8822725,89,85.73883056640625
1749082100.104782,90,86.54066467285156
1749082128.3985887,91,82.70332336425781
1749082166.08452,92,85.62428283691406
1749082201.5722759,93,85.16609191894531
1749082237.6117675,94,85.91065216064453
1749082265.5655935,95,83.39060974121094
1749082293.3566358,96,84.19243621826172
1749082316.5813954,97,84.02062225341797
1749082340.6490784,98,84.65062713623047
1749082364.606765,99,83.56243133544922
1749082388.4292104,100,81.21420288085938
