round,lr,global_acc,global_f1,global_precision,global_recall,convergence_flag,drift_norm_mean,drift_norm_std,drift_feature_mean,drift_feature_std,drift_head_mean,drift_head_std,interference_norm,interference_feature,interference_head,fairness_gap,client_acc_min,client_acc_max,client_acc_std
33,0.00287823,85.4839,85.2606,85.3654,85.3538,0,0.070539,0.005736,0.721604,0.053596,0.191163,0.025025,0.507533,0.020799,-0.045057,8.2015,74.5763,82.7778,2.3661
34,0.00259864,85.317,85.0188,85.1095,85.1671,0,0.06952,0.004689,0.697305,0.061834,0.195612,0.036942,0.504314,0.008687,-0.030622,9.275,76.8362,86.1111,2.9695
35,0.00232855,84.8165,84.4754,84.5403,84.6234,0,0.073925,0.00995,0.754701,0.076293,0.184835,0.027994,0.457301,0.009461,-0.0162,13.7665,74.0113,87.7778,3.953
36,0.00206901,85.2058,84.9786,85.238,85.1109,0,0.071663,0.004969,0.703181,0.036046,0.193931,0.018799,0.513379,0.007066,-0.030958,7.5989,77.4011,85.0,2.3887
37,0.00182107,85.9288,85.6937,85.7654,85.7901,0,0.072452,0.006534,0.730143,0.045905,0.179336,0.027321,0.513749,0.014861,-0.020651,9.5779,75.9777,85.5556,3.2365
38,0.00158569,84.8721,84.7042,85.1467,84.7692,0,0.070082,0.004583,0.714529,0.043531,0.187171,0.017221,0.467126,-0.001583,-0.032435,14.7646,71.1111,85.8757,4.7981
39,0.0013638,85.5395,85.3091,85.4049,85.4428,0,0.074611,0.007604,0.736566,0.066399,0.17991,0.021583,0.479991,0.009808,-0.054158,15.5225,73.743,89.2655,4.4077
40,0.00115629,85.9288,85.7078,85.6961,85.7902,0,0.073362,0.008389,0.710857,0.048384,0.169243,0.030762,0.47672,0.003888,-0.036538,9.7032,78.1421,87.8453,3.3274
41,0.00096396,86.3181,86.2274,86.4708,86.2702,0,0.072433,0.00517,0.742703,0.051775,0.194658,0.029118,0.425399,-0.000596,-0.050214,11.0466,75.1412,86.1878,3.5656
42,0.00078758,85.5395,85.4238,85.6023,85.4405,0,0.074943,0.006159,0.759653,0.078688,0.180231,0.021636,0.42596,-0.007395,-0.07076,10.904,76.6667,87.5706,3.3993
43,0.00062785,85.7063,85.5588,85.9926,85.6597,0,0.071251,0.007134,0.729854,0.048423,0.176695,0.030878,0.474721,0.002558,-0.05754,9.8023,78.5311,88.3333,3.0901
44,0.00048539,85.9844,85.776,85.7685,85.8338,0,0.072961,0.008475,0.729176,0.068102,0.193626,0.029356,0.417794,-0.00659,-0.028277,10.62,77.7778,88.3978,3.1669
45,0.00036077,86.0957,85.8279,85.8301,85.9625,0,0.077528,0.010211,0.771218,0.104027,0.183698,0.022254,0.438117,-0.005281,-0.063736,9.9565,77.0492,87.0056,3.3366
46,0.00025447,85.8176,85.6364,85.8128,85.6878,0,0.07596,0.008997,0.746449,0.065318,0.187981,0.032044,0.423627,-0.015584,-0.068267,11.8032,75.419,87.2222,4.2123
47,0.00016693,86.4294,86.2775,86.6942,86.3528,0,0.077321,0.008317,0.784255,0.070959,0.176669,0.016737,0.42889,-0.003514,-0.039556,8.2342,77.4011,85.6354,3.1925
48,9.848e-05,86.2625,86.0897,86.0857,86.1744,0,0.072604,0.003776,0.731909,0.037039,0.184204,0.024189,0.410505,0.00166,0.006035,12.0339,76.6667,88.7006,4.3263
49,4.939e-05,86.2625,86.0805,86.0391,86.1444,0,0.076707,0.008341,0.767277,0.074231,0.180704,0.022855,0.402696,-0.008698,-0.062603,9.6912,77.0492,86.7403,3.9084
50,1.986e-05,86.3181,86.1443,86.2363,86.2088,0,0.074739,0.009508,0.74705,0.071483,0.18053,0.031531,0.409725,-0.006006,-0.054233,9.5748,76.5363,86.1111,3.4998
